Report Refresh Date,User Principal Name,Last Activity Date,Is Deleted,Deleted Date,Assigned Products,Team Chat Message Count,Private Chat Message Count,Call Count,Meeting Count,Has Other Action,Report Period
2021-03-16,JohannaL@radarrxray.onmicrosoft.com,,False,,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),0,0,0,0,No,7
2021-03-16,GradyA@radarrxray.onmicrosoft.com,,False,,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),0,0,0,0,No,7
2021-03-16,LeeG@radarrxray.onmicrosoft.com,,False,,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),0,0,0,0,No,7
2021-03-16,PradeepG@radarrxray.onmicrosoft.com,,False,,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),0,0,0,0,No,7
2021-03-16,AlexW@radarrxray.onmicrosoft.com,,False,,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),0,0,0,0,No,7
2021-03-16,DiegoS@radarrxray.onmicrosoft.com,,False,,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),0,0,0,0,No,7
2021-03-16,MeganB@radarrxray.onmicrosoft.com,,False,,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),0,0,0,0,No,7
2021-03-16,charles@radarrxray.onmicrosoft.com,,False,,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),0,0,0,0,No,7
2021-03-16,NestorW@radarrxray.onmicrosoft.com,,False,,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),0,0,0,0,No,7
2021-03-16,radarrxray@radarrxray.onmicrosoft.com,,False,,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),0,0,0,0,No,7
2021-03-16,PattiF@radarrxray.onmicrosoft.com,,False,,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),0,0,0,0,No,7
2021-03-16,MiriamG@radarrxray.onmicrosoft.com,,False,,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),0,0,0,0,No,7
2021-03-16,JoniS@radarrxray.onmicrosoft.com,,False,,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),0,0,0,0,No,7
2021-03-16,LidiaH@radarrxray.onmicrosoft.com,,False,,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),0,0,0,0,No,7
2021-03-16,IsaiahL@radarrxray.onmicrosoft.com,,False,,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),0,0,0,0,No,7
2021-03-16,HenriettaM@radarrxray.onmicrosoft.com,,False,,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),0,0,0,0,No,7
2021-03-16,LynneR@radarrxray.onmicrosoft.com,,False,,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),0,0,0,0,No,7
